lat,lng,country
59.3508,18.0973,Sweden
33.58,119.03,China
-5.14,119.432,Indonesia
22.31,70.8,India
23.8004,86.42,India
44.575,129.59,China
46.21,6.14,Switzerland
29.63,52.57,Iran
30.8704,120.1,China
34.6,105.92,China
26.5944,104.8333,China
51.2204,6.78,Germany
21.9204,110.87,China
37.405,-5.98,Spain
31.64,74.87,India
-20.3676,-40.318,Brazil
3.2167,-51.2167,Brazil
43.325,76.915,Kazakhstan
41.8229,-71.4186,United States
18.01,79.58,India
-32.9511,-60.6663,Argentina
25.455,81.84,India
6.3405,5.62,Nigeria
-9.62,-35.73,Brazil
35.4004,116.55,China
42.6833,23.3167,Bulgaria
34.1495,73.1995,Pakistan
32.1167,20.0667,Libya
-7.7188,109.0154,Indonesia
50.0833,14.466,Czechia
55.8744,-4.2507,United Kingdom
29.5671,103.7333,China
30.3322,-81.6749,United States
12.3703,-1.5247,Burkina Faso
-34.935,138.6,Australia
45.4167,-75.7,Canada
28.4704,117.97,China
25.5701,-103.42,Mexico
34.1,74.815,India
53.195,50.1513,Russia
16.52,80.63,India
54.99,73.4,Russia
-32.8453,151.815,Australia
22.63,110.15,China
38.7669,125.4524,"Korea, North"
34.3456,108.7147,China
8.4508,124.6853,Philippines
10.05,105.77,Vietnam
10.05,-69.3,Venezuela
55.7499,49.1263,Russia
60.1756,24.9341,Finland
19.8957,75.3203,India
51.083,-114.08,Canada
19.41,-99.03,Mexico
47.38,8.55,Switzerland
38.8704,115.48,China
29.4,104.78,China
25.3714,55.4065,United Arab Emirates
40.1812,44.5136,Armenia
2.0667,45.3667,Somalia
-12.75,15.76,Angola
32.68,109.02,China
41.725,44.7908,Georgia
7.5304,5.76,Nigeria
44.8186,20.468,Serbia
40.7774,-111.9301,United States
21.2167,81.4333,India
29.12,119.65,China
55.155,61.4387,Russia
-5.78,-35.24,Brazil
38.56,68.7739,Tajikistan
55.6786,12.5635,Denmark
35.2191,128.5836,"Korea, South"
27.83,113.15,China
37.2578,127.0109,"Korea, South"
36.1714,-86.7844,United States
-26.6496,27.96,South Africa
32.02,112.13,China
35.1047,-89.9773,United States
35.5467,129.317,"Korea, South"
35.99,119.3801,China
31.95,35.9333,Jordan
37.5295,-77.4756,United States
